Nombre,Descripcion,Copies,Imagen,Tag,Update 1
Sacrificio por poder,Pasiva: Cada jugador obtiene 1 de esencia por cada secuaz de su facción en juego al inicio de su turno,1,,Late Game,Cada jugador obtiene 1 de esencia por cada secuaz que controle. A continuación mueren todos los secuaces
Destrucción total,Pasiva: El jugador con mas aldeas tiene 2 PV adicionales,1,,Late Game,Destruye todos los muros y transforma todas las losetas de facción en losetas normales
Era de los Templos,Pasiva: Cada jugador obtiene 2 de esencia y una carta de su facción por cada templo que controle al inicio de su turno,1,,Late Game,
Consumo libre,Pasiva: Comprar cartas no cuesta acción,1,,Late Game,
Movimiento ilimitado,Pasiva: Aumenta en 1 el movimiento base de los héroes y secuaces,1,,Late Game,Pasiva: Aumenta en 2 el movimiento base de todos los heroes y en 1 el de todos los secuaces
Camino a la victoria,Pasiva: Los templos otorgan un PV adicional,1,,Late Game,
Edad dorada,Pasiva: Los generadores y minas generan el doble,1,,Late Game,
Acciones ilimitadas,Pasiva: Todos los jugadores tienen 2 acciones adicionales en su turno,1,,Late Game,
Invasión de secuaces,Pasiva: Se pueden usar cartas de construccion o exploración con secuaces,1,,Late Game,"Pasiva: Antes de cada turno, el jugador genera todos los secuaces que pueda hasta llegar a su límite de secuaces"
Inicio del fin,Pasiva: El altar central otorga 3 PV,1,,Late Game,
