Nombre,Recurso,Descripcion,Copies,Imagen,Tag,Update 1
Ataque elemental,1,Inflige 3 de daño 2 veces,1,FaccioBasica0_Ataque.png,Combate,Ataca con 7 de vida a un heroe enemigo
Descarte,1,Descarta todas las cartas del mercado,1,FaccioBasica1_Descarte.png,Utilidad,
Transformación,1,Transforma una loseta normal en una de roca,1,Basica1_TransformarNormal.png,Transformar Normal,
Pies imparables,1,Tienes 3 acciones adicionales en el turno.,1,FaccioBasica3_Acciones.png,Utilidad,
Regeneración mineral,1,Cura a todos los secuaces 2 de vida,1,,Secuaz,
Piel de granito,1,Juega esta carta cuando vayas a recibir daño. Anula hasta 3 de daño.,1,,Utilidad,
Refuerzo estructural,1,"Juega esta carta cuando quieran destruir un muro, cancela el efecto y pierde la acción",1,,"Utilidad, Muro",
Daño por muro,1,"Utiliza esta carta cuando un enemigo termine su movimiento adyacente a un muro de roca, inflinge 4 de daño",1,,Muro,
Recursos por control,1,"Deja esta carta bocaarriba en la mesa. Si controlas el altar central al inicio de tu turno, recibe 3 de oro, 3 de energia y descarta esta carta",1,,,
Derrumbe,1,Destruye un muro de roca. Empuja todas las unidades adyacentes 1 loseta e inflige 2 de daño a cada una.,1,,,
Contraataque,1,Anula todo el daño y el atacante recibe 3 de daño,1,,,"Juega esta carta cuando recibas daño, anula hasta 2 de daño y el atacante recibe 2 de daño"
Represalia,1,"Juega esta carta cuando un héroe enemigo nos ataque, le devolvemos la misma cantidad de daño",1,,Combate,
Zona fortificada,1,"Hasta tu próximo turno, los enemigos no pueden jugar cartas en losetas adyacentes a un muro",1,,,
Reclutamiento de escombros,1,Destruye un muro para generar dos secuaces en su loseta,1,,"Utilidad, Secuaz, Muro",
Guardia terrenal,1,Genera dos secuaces en una loseta de roca,1,,,
Cubrir,1,"Hasta el principio de tu siguiente turno, no puedes sufrir daño.",1,,Utilidad,De 2 a 1
Transformación 2,2,Transforma cualquier loseta en una de roca (sin importar la distancia),1,11_TransformarCualquiera.png,Transformar Faccion,
Destuir edificio,2,Destruye cualquier edificio,1,FaccioBasica5_Destruir.png,"Utilidad, Combate",
Reestructuración defensiva,2,Mueve hasta 2 muros a una loseta adyacente (o reposicionalos en la misma loseta),1,,Muro,
Traslado monumental,2,Mueve la posición de un edificio o templo que se encuentre sobre una loseta de roca a otra loseta de roca sin edificio.,1,,,
Fortaleza,2,"Construye 2 muros. Si ya hay un muro, construye 3",1,,"Utilidad, Muro",
Terreno implacable,2,"Hasta tu próximo turno, tus losetas cuestan +1 paso adicional para héroes (3). Los secuaces enemigos no pueden entrar.",1,,,
Llamada de los altares,2,"Genera un secuaz en cada altar (mayor y menores, ignorando el límite de secuaces)",1,,,
Protección territorial,2,"Hasta el principio de tu siguiente turno, los enemigos no pueden capturar edificios aliados",1,,,
Destuir edificio+,3,Destruye cualquier edificio (sin importar la distancia),1,FaccioBasica5_Destruir.png,"Utilidad, Combate",
Reubicación estructural,3,Elige un edificio que se encuentre en la misma loseta que un secuaz aliado. Puedes moverlo a otra loseta vacia que se encuentre hasta 2 de distancia.,1,,,
Sobrepoblación estructural,5,Genera un secuaz en cada edificio que controles,1,,,De 4 a 5
Ruinas eternas,5,Utiliza esta carta para proteger un edificio o templo que controles de ser capturado o destruido permanentemente,1,,Utilidad,
Juramiento eterno,8,Utiliza esta carta para proteger dos edificios o templos que controles de ser capturado o destruido permanentemente,1,,,
Reordenación general,9,Mueve hasta 3 edificios o templos a losetas vacias (sin importar la distancia),1,,,De 7 a 9
